# Tempo(s) E[N]
10.0 3.880686
20.0 7.311423
30.0 8.851253
40.0 7.872400
50.0 6.949107
60.0 6.483163
70.0 7.342827
80.0 8.822210
90.0 9.592640
100.0 10.536298
110.0 11.707823
120.0 13.119621
130.0 14.391290
140.0 15.719952
150.0 16.651479
160.0 17.650840
170.0 18.305412
180.0 18.746982
190.0 18.902891
200.0 18.680320
210.0 18.611626
220.0 18.540073
230.0 18.290391
240.0 17.947285
250.0 17.701048
260.0 17.481207
270.0 17.181163
280.0 16.830288
290.0 16.287014
300.0 15.889440
310.0 15.443914
320.0 14.995260
330.0 14.557471
340.0 14.317548
350.0 14.076932
360.0 13.767158
370.0 13.460130
380.0 13.168286
390.0 12.970870
400.0 12.911633
410.0 12.890133
420.0 12.857717
430.0 12.799660
440.0 12.680680
450.0 12.522129
460.0 12.403250
470.0 12.310322
480.0 12.239327
490.0 12.322227
500.0 12.434174
510.0 12.499581
520.0 12.537639
530.0 12.438589
540.0 12.350669
550.0 12.245426
560.0 12.089074
570.0 11.899289
580.0 11.709998
590.0 11.520209
600.0 11.368825
610.0 11.258705
620.0 11.148388
630.0 10.985254
640.0 10.848014
650.0 10.691231
660.0 10.551541
670.0 10.483885
680.0 10.338066
690.0 10.194963
700.0 10.074267
710.0 10.018603
720.0 9.988434
730.0 10.050815
740.0 10.056735
750.0 10.012437
760.0 9.900637
770.0 9.784830
780.0 9.722581
790.0 9.621527
800.0 9.510095
810.0 9.470284
820.0 9.501239
830.0 9.543156
840.0 9.535220
850.0 9.443329
860.0 9.362907
870.0 9.299439
880.0 9.366428
890.0 9.477284
900.0 9.558803
910.0 9.667711
920.0 9.749417
930.0 9.799210
940.0 9.818497
950.0 9.849343
960.0 9.884668
970.0 9.914333
980.0 9.976237
990.0 10.041700
1000.0 10.122273
1010.0 10.268781
1020.0 10.458904
1030.0 10.673443
1040.0 10.911199
1050.0 11.135656
1060.0 11.326110
1070.0 11.531064
1080.0 11.683756
1090.0 11.773888
1100.0 11.842480
1110.0 11.890623
1120.0 11.898193
1130.0 11.846191
1140.0 11.761374
1150.0 11.679184
1160.0 11.609837
1170.0 11.551236
1180.0 11.519865
1190.0 11.515546
1200.0 11.530267
1210.0 11.500679
1220.0 11.457590
1230.0 11.401735
1240.0 11.330343
1250.0 11.317287
1260.0 11.339943
1270.0 11.380815
1280.0 11.406048
1290.0 11.466544
1300.0 11.585623
1310.0 11.691044
1320.0 11.777327
1330.0 11.835264
1340.0 11.839442
1350.0 11.820039
1360.0 11.773394
1370.0 11.728776
1380.0 11.717927
1390.0 11.714299
1400.0 11.697926
1410.0 11.625400
1420.0 11.558002
1430.0 11.523347
1440.0 11.509443
1450.0 11.529177
1460.0 11.561884
1470.0 11.613206
1480.0 11.711708
1490.0 11.827300
1500.0 11.952262
1510.0 12.087150
1520.0 12.241078
1530.0 12.427771
1540.0 12.602103
1550.0 12.783705
1560.0 13.000713
1570.0 13.233091
1580.0 13.441202
1590.0 13.649722
1600.0 13.882560
1610.0 14.120648
1620.0 14.349238
1630.0 14.615130
1640.0 14.873094
1650.0 15.108816
1660.0 15.352980
1670.0 15.570043
1680.0 15.770604
1690.0 15.959474
1700.0 16.120386
1710.0 16.288391
1720.0 16.463428
1730.0 16.629961
1740.0 16.816018
1750.0 16.998567
1760.0 17.159868
1770.0 17.312775
1780.0 17.484767
1790.0 17.670603
1800.0 17.874227
1810.0 18.077523
1820.0 18.269870
1830.0 18.449455
1840.0 18.641525
1850.0 18.838529
1860.0 19.047903
1870.0 19.256807
1880.0 19.434474
1890.0 19.579349
1900.0 19.704922
1910.0 19.815795
1920.0 19.904204
1930.0 20.023275
1940.0 20.174983
1950.0 20.329270
1960.0 20.502682
1970.0 20.689567
1980.0 20.840849
1990.0 20.972014
2000.0 21.091004
2010.0 21.232228
2020.0 21.343312
2030.0 21.471735
2040.0 21.584344
2050.0 21.692584
2060.0 21.779027
2070.0 21.861241
2080.0 21.911297
2090.0 21.983636
2100.0 22.074404
2110.0 22.150519
2120.0 22.200006
2130.0 22.267507
2140.0 22.342872
2150.0 22.432683
2160.0 22.514558
2170.0 22.584226
