# Tempo(s) E[W]
10.0 3.049911
20.0 4.765450
30.0 5.447390
40.0 6.542944
50.0 7.291203
60.0 8.172680
70.0 8.826153
80.0 9.443761
90.0 9.451118
100.0 10.147902
110.0 10.631221
120.0 11.579580
130.0 12.009141
140.0 12.524853
150.0 13.183831
160.0 14.207941
170.0 15.176307
180.0 15.804014
190.0 16.562436
200.0 17.373947
210.0 18.489853
220.0 19.455035
230.0 20.392062
240.0 21.598604
250.0 22.252716
260.0 23.016205
270.0 23.065314
280.0 23.652338
290.0 24.090984
300.0 24.489612
310.0 25.074007
320.0 25.440652
330.0 25.750235
340.0 26.114798
350.0 26.442130
360.0 26.482767
370.0 26.969253
380.0 27.247614
390.0 27.251894
400.0 27.776179
410.0 27.826706
420.0 28.186759
430.0 28.516966
440.0 29.006879
450.0 29.248352
460.0 29.405786
470.0 29.702298
480.0 29.793709
490.0 29.949705
500.0 30.085043
510.0 30.624226
520.0 30.715828
530.0 30.880809
540.0 31.156865
550.0 31.155638
560.0 31.327144
570.0 31.192144
580.0 31.166934
590.0 31.037618
600.0 30.988645
610.0 30.989796
620.0 30.985899
630.0 31.271147
640.0 31.276616
650.0 31.094203
660.0 31.103157
670.0 30.990320
680.0 31.055352
690.0 30.926065
700.0 30.786105
710.0 30.642324
720.0 30.543590
730.0 30.301141
740.0 30.300687
750.0 30.371130
760.0 30.399858
770.0 30.373500
780.0 30.051733
790.0 29.983203
800.0 29.719339
810.0 29.428288
820.0 29.378839
830.0 29.389143
840.0 29.317918
850.0 29.417394
860.0 29.462953
870.0 29.386765
880.0 29.163183
890.0 28.979251
900.0 28.514614
910.0 28.293011
920.0 28.126519
930.0 28.020603
940.0 27.957655
950.0 27.634883
960.0 27.599307
970.0 27.449643
980.0 27.168131
990.0 27.033577
1000.0 26.856032
1010.0 26.686477
1020.0 26.477063
1030.0 26.516532
1040.0 26.468017
1050.0 26.483862
1060.0 26.376188
1070.0 26.229785
1080.0 26.004297
1090.0 25.919651
1100.0 25.812786
1110.0 25.720909
1120.0 25.636124
1130.0 25.564008
1140.0 25.471532
1150.0 25.371243
1160.0 25.351244
1170.0 25.353723
1180.0 25.145962
1190.0 25.012352
1200.0 24.995217
1210.0 25.054854
1220.0 24.904738
1230.0 24.736079
1240.0 24.580325
1250.0 24.375454
1260.0 24.181154
1270.0 23.946931
1280.0 23.818218
1290.0 23.705024
1300.0 23.599513
1310.0 23.547277
1320.0 23.381914
1330.0 23.222450
1340.0 23.230099
1350.0 23.173101
1360.0 23.188540
1370.0 23.249057
1380.0 23.266502
1390.0 23.222398
1400.0 23.249296
1410.0 23.217646
1420.0 23.205528
1430.0 23.227517
1440.0 23.187224
1450.0 23.258233
1460.0 23.246833
1470.0 23.159011
1480.0 23.055061
1490.0 22.996017
1500.0 22.924168
1510.0 22.780080
1520.0 22.687886
1530.0 22.520637
1540.0 22.339800
1550.0 22.200714
1560.0 22.035147
1570.0 21.943015
1580.0 21.873579
1590.0 21.777165
1600.0 21.696222
1610.0 21.622370
1620.0 21.563212
1630.0 21.504975
1640.0 21.493512
1650.0 21.437516
1660.0 21.300259
1670.0 21.258383
1680.0 21.185109
1690.0 21.068641
1700.0 20.993077
1710.0 20.966937
1720.0 20.880892
1730.0 20.838867
1740.0 20.713544
1750.0 20.639790
1760.0 20.563323
1770.0 20.471792
1780.0 20.419184
1790.0 20.300401
1800.0 20.178753
1810.0 20.147645
1820.0 20.020686
1830.0 19.947520
1840.0 19.871926
1850.0 19.815866
1860.0 19.728971
1870.0 19.620848
1880.0 19.581958
1890.0 19.509176
1900.0 19.488659
1910.0 19.418196
1920.0 19.300013
1930.0 19.253802
1940.0 19.196292
1950.0 19.093979
1960.0 18.978594
1970.0 18.861174
1980.0 18.795883
1990.0 18.712525
2000.0 18.625803
2010.0 18.572998
2020.0 18.514621
2030.0 18.495796
2040.0 18.440462
2050.0 18.330803
2060.0 18.269546
2070.0 18.173361
2080.0 18.088063
2090.0 17.992810
2100.0 17.920009
2110.0 17.951578
2120.0 18.023797
2130.0 18.050549
2140.0 18.171187
2150.0 18.237446
2160.0 18.309777
2170.0 18.392207
2180.0 18.366247
2190.0 18.460081
2200.0 18.547230
2210.0 18.657551
2220.0 18.740526
2230.0 18.854724
2240.0 18.883554
2250.0 18.967234
2260.0 19.059016
2270.0 19.171827
2280.0 19.332257
2290.0 19.415138
2300.0 19.458988
2310.0 19.537938
2320.0 19.652970
2330.0 19.746327
2340.0 19.781598
2350.0 19.873680
2360.0 19.955825
2370.0 20.036271
2380.0 20.094089
2390.0 20.165397
2400.0 20.184125
2410.0 20.233975
2420.0 20.298446
2430.0 20.291614
2440.0 20.256473
2450.0 20.228196
2460.0 20.247931
2470.0 20.267453
2480.0 20.303415
2490.0 20.365184
2500.0 20.394221
2510.0 20.416352
2520.0 20.450827
2530.0 20.512746
2540.0 20.537906
2550.0 20.558555
2560.0 20.533324
2570.0 20.563319
2580.0 20.585113
2590.0 20.627302
2600.0 20.667422
2610.0 20.662893
2620.0 20.684054
2630.0 20.700614
2640.0 20.772387
2650.0 20.823943
2660.0 20.875067
2670.0 20.950300
2680.0 21.016755
2690.0 21.089862
2700.0 21.103555
2710.0 21.133258
2720.0 21.256097
2730.0 21.367808
2740.0 21.435089
2750.0 21.513416
2760.0 21.598408
2770.0 21.717556
2780.0 21.783265
2790.0 21.859710
2800.0 21.936101
2810.0 21.996748
2820.0 22.138704
2830.0 22.239664
2840.0 22.350912
2850.0 22.436649
2860.0 22.548604
2870.0 22.644743
2880.0 22.741178
2890.0 22.758251
2900.0 22.840572
2910.0 22.914620
2920.0 22.953504
2930.0 23.024333
2940.0 23.044575
2950.0 23.130109
2960.0 23.181519
2970.0 23.199030
2980.0 23.256458
2990.0 23.408554
3000.0 23.452790
3010.0 23.549415
3020.0 23.599760
3030.0 23.661342
3040.0 23.706364
3050.0 23.682836
3060.0 23.718870
3070.0 23.795532
3080.0 23.879968
3090.0 23.911909
3100.0 23.981593
3110.0 24.052413
3120.0 24.099687
3130.0 24.190455
3140.0 24.232945
3150.0 24.283153
3160.0 24.400385
3170.0 24.525679
3180.0 24.666405
3190.0 24.815643
3200.0 24.900615
3210.0 25.037907
