# Tempo(s) Lambda
10.0 1.600000
20.0 1.050000
30.0 0.833333
40.0 0.725000
50.0 0.660000
60.0 0.633333
70.0 0.585714
80.0 0.550000
90.0 0.522222
100.0 0.510000
110.0 0.518182
120.0 0.525000
130.0 0.561538
140.0 0.542857
150.0 0.533333
160.0 0.543750
170.0 0.547059
180.0 0.538889
190.0 0.542105
200.0 0.545000
210.0 0.542857
220.0 0.545455
230.0 0.552174
240.0 0.545833
250.0 0.564000
260.0 0.561538
270.0 0.559259
280.0 0.553571
290.0 0.541379
300.0 0.523333
310.0 0.516129
320.0 0.506250
330.0 0.503030
340.0 0.497059
350.0 0.497143
360.0 0.491667
370.0 0.500000
380.0 0.497368
390.0 0.494872
400.0 0.507500
410.0 0.507317
420.0 0.514286
430.0 0.516279
440.0 0.515909
450.0 0.508889
460.0 0.508696
470.0 0.502128
480.0 0.495833
490.0 0.497959
500.0 0.492000
510.0 0.496078
520.0 0.496154
530.0 0.500000
540.0 0.507407
550.0 0.512727
560.0 0.508929
570.0 0.510526
580.0 0.513793
590.0 0.510169
600.0 0.510000
610.0 0.506557
620.0 0.501613
630.0 0.496825
640.0 0.500000
650.0 0.500000
660.0 0.496970
670.0 0.498507
680.0 0.498529
690.0 0.500000
700.0 0.504286
710.0 0.500000
720.0 0.500000
730.0 0.501370
740.0 0.498649
750.0 0.501333
760.0 0.501316
770.0 0.497403
780.0 0.492308
790.0 0.496203
800.0 0.497500
810.0 0.495062
820.0 0.491463
830.0 0.492771
840.0 0.494048
850.0 0.495294
860.0 0.494186
870.0 0.496552
880.0 0.503409
890.0 0.501124
900.0 0.498889
910.0 0.495604
920.0 0.494565
930.0 0.495699
940.0 0.496809
950.0 0.492632
960.0 0.488542
970.0 0.489691
980.0 0.493878
990.0 0.492929
1000.0 0.490000
1010.0 0.490099
1020.0 0.499020
1030.0 0.497087
1040.0 0.496154
1050.0 0.498095
1060.0 0.500943
1070.0 0.500935
1080.0 0.500000
1090.0 0.499083
1100.0 0.500000
1110.0 0.498198
1120.0 0.495536
1130.0 0.495575
1140.0 0.494737
1150.0 0.494783
1160.0 0.498276
1170.0 0.496581
1180.0 0.496610
1190.0 0.497479
1200.0 0.498333
1210.0 0.499174
1220.0 0.499180
1230.0 0.499187
1240.0 0.495968
1250.0 0.496800
1260.0 0.495238
1270.0 0.498425
1280.0 0.496094
1290.0 0.495349
1300.0 0.495385
1310.0 0.496947
1320.0 0.497727
1330.0 0.497744
1340.0 0.497761
1350.0 0.497778
1360.0 0.498529
1370.0 0.499270
1380.0 0.500000
1390.0 0.499281
1400.0 0.496429
1410.0 0.495035
1420.0 0.495070
1430.0 0.497203
1440.0 0.500000
1450.0 0.500000
1460.0 0.499315
1470.0 0.497279
1480.0 0.497973
1490.0 0.495973
1500.0 0.496000
1510.0 0.496689
1520.0 0.494737
1530.0 0.493464
1540.0 0.491558
1550.0 0.490323
1560.0 0.489103
1570.0 0.487261
1580.0 0.488608
1590.0 0.488050
1600.0 0.488750
1610.0 0.488820
1620.0 0.489506
1630.0 0.487730
1640.0 0.489634
1650.0 0.488485
1660.0 0.489759
1670.0 0.488024
1680.0 0.487500
1690.0 0.488757
1700.0 0.490000
1710.0 0.489474
1720.0 0.488953
1730.0 0.487283
1740.0 0.485632
1750.0 0.485714
1760.0 0.485227
1770.0 0.485876
1780.0 0.484831
1790.0 0.485475
1800.0 0.484444
1810.0 0.483425
1820.0 0.482967
1830.0 0.480874
1840.0 0.479891
1850.0 0.482162
1860.0 0.481720
1870.0 0.481818
1880.0 0.481383
1890.0 0.482011
1900.0 0.480000
1910.0 0.480628
1920.0 0.479687
1930.0 0.479275
1940.0 0.480412
1950.0 0.480513
1960.0 0.480612
1970.0 0.479188
1980.0 0.477778
1990.0 0.477889
2000.0 0.476500
2010.0 0.477612
2020.0 0.478713
2030.0 0.479310
2040.0 0.480882
2050.0 0.481951
2060.0 0.482524
2070.0 0.485507
2080.0 0.489423
2090.0 0.488995
2100.0 0.488095
2110.0 0.487678
2120.0 0.487264
2130.0 0.486854
2140.0 0.486916
2150.0 0.487907
2160.0 0.490278
2170.0 0.492166
2180.0 0.493119
2190.0 0.492237
2200.0 0.491818
2210.0 0.491855
2220.0 0.491441
2230.0 0.490135
2240.0 0.491071
2250.0 0.489333
2260.0 0.488938
2270.0 0.488546
2280.0 0.488158
2290.0 0.488210
2300.0 0.487391
2310.0 0.487879
2320.0 0.487500
2330.0 0.486695
2340.0 0.485470
2350.0 0.485957
2360.0 0.486441
2370.0 0.485654
2380.0 0.486134
2390.0 0.488703
2400.0 0.487917
2410.0 0.490041
2420.0 0.490083
2430.0 0.491358
2440.0 0.490574
2450.0 0.490612
2460.0 0.491463
2470.0 0.493522
2480.0 0.493548
2490.0 0.493574
2500.0 0.494000
2510.0 0.494024
2520.0 0.494444
2530.0 0.494862
2540.0 0.495276
2550.0 0.495686
2560.0 0.495703
2570.0 0.494942
2580.0 0.494961
2590.0 0.494208
2600.0 0.493846
2610.0 0.493103
2620.0 0.493130
2630.0 0.492395
2640.0 0.492424
2650.0 0.492830
2660.0 0.493233
2670.0 0.493633
2680.0 0.494030
2690.0 0.492565
2700.0 0.492963
2710.0 0.492620
2720.0 0.492279
2730.0 0.492308
2740.0 0.492701
2750.0 0.491636
2760.0 0.490942
2770.0 0.490614
2780.0 0.491367
2790.0 0.489964
2800.0 0.490357
2810.0 0.490391
2820.0 0.491135
2830.0 0.490813
2840.0 0.491901
2850.0 0.490526
2860.0 0.491958
2870.0 0.490941
